query_id,inliers_top1,baseline_correct,reranked_correct
0,9.0,0,0
1,12.0,0,0
2,7.0,0,1
3,9.0,0,0
4,498.0,1,1
5,8.0,0,0
6,312.0,1,1
7,11.0,0,0
8,259.0,1,1
9,10.0,0,0
10,8.0,0,1
11,177.0,1,1
12,9.0,0,0
13,199.0,1,1
14,11.0,0,0
15,113.0,1,1
16,10.0,0,0
17,94.0,1,1
18,16.0,0,0
19,85.0,1,1
20,9.0,0,0
21,9.0,0,0
22,12.0,0,0
23,10.0,0,0
24,7.0,0,0
25,12.0,0,0
26,14.0,0,0
27,18.0,0,0
28,9.0,0,0
29,9.0,0,0
30,13.0,0,0
31,19.0,0,0
32,19.0,0,0
33,11.0,0,0
34,17.0,0,0
35,20.0,0,0
36,13.0,0,0
37,13.0,0,0
38,8.0,0,0
39,10.0,0,0
40,14.0,0,1
41,10.0,0,0
42,13.0,0,0
43,6.0,0,0
44,17.0,0,0
45,7.0,0,0
46,7.0,0,0
47,9.0,0,0
48,8.0,0,0
49,7.0,0,0
50,11.0,0,0
51,14.0,0,1
52,6.0,0,0
53,8.0,0,0
54,173.0,1,1
55,10.0,0,0
56,28.0,1,1
57,10.0,0,0
58,6.0,0,0
59,12.0,0,1
60,9.0,0,0
61,31.0,1,1
62,8.0,0,0
63,64.0,1,1
64,9.0,0,0
65,15.0,0,1
66,21.0,0,1
67,10.0,0,0
68,11.0,0,1
69,10.0,0,0
70,8.0,0,0
71,49.0,1,1
72,10.0,0,1
73,9.0,0,0
74,11.0,0,1
75,10.0,0,0
76,11.0,0,1
77,6.0,0,0
78,6.0,0,0
79,18.0,0,0
80,8.0,0,0
81,9.0,0,0
82,9.0,0,0
83,14.0,0,0
84,13.0,0,0
85,15.0,0,0
86,9.0,0,0
87,7.0,0,0
88,9.0,0,0
89,11.0,0,0
90,10.0,0,0
91,13.0,0,0
92,11.0,0,0
93,13.0,0,0
94,10.0,0,0
95,11.0,0,1
96,15.0,0,0
97,11.0,0,0
98,48.0,1,1
99,10.0,0,0
