query_id,inliers_top1,baseline_correct,reranked_correct
0,5.0,0,0
1,18.0,0,0
2,8.0,0,1
3,7.0,0,0
4,140.0,1,1
5,8.0,0,0
6,112.0,1,1
7,11.0,0,0
8,87.0,1,1
9,7.0,0,0
10,8.0,0,0
11,69.0,1,1
12,10.0,0,0
13,68.0,1,1
14,17.0,0,0
15,57.0,1,1
16,18.0,0,0
17,53.0,1,1
18,8.0,0,0
19,59.0,1,1
20,6.0,0,0
21,4.0,0,0
22,4.0,0,0
23,7.0,0,0
24,5.0,0,0
25,7.0,0,0
26,9.0,0,0
27,18.0,0,0
28,6.0,0,0
29,6.0,0,0
30,39.0,0,0
31,17.0,0,0
32,7.0,0,0
33,12.0,0,0
34,7.0,0,0
35,11.0,0,0
36,6.0,0,0
37,14.0,0,0
38,7.0,0,0
39,6.0,0,0
40,10.0,0,0
41,12.0,0,0
42,9.0,0,0
43,6.0,0,0
44,11.0,0,0
45,7.0,0,0
46,5.0,0,0
47,5.0,0,0
48,6.0,0,0
49,4.0,0,0
50,9.0,0,0
51,14.0,0,1
52,5.0,0,0
53,9.0,0,0
54,83.0,1,1
55,11.0,0,0
56,38.0,1,1
57,11.0,0,0
58,5.0,0,0
59,26.0,0,1
60,12.0,0,0
61,32.0,1,1
62,5.0,0,0
63,35.0,1,1
64,5.0,0,0
65,9.0,0,1
66,10.0,0,1
67,12.0,0,0
68,12.0,0,1
69,13.0,0,0
70,21.0,0,0
71,49.0,1,1
72,5.0,0,1
73,12.0,0,0
74,13.0,0,1
75,5.0,0,0
76,8.0,0,0
77,5.0,0,0
78,10.0,0,0
79,5.0,0,0
80,5.0,0,0
81,6.0,0,0
82,7.0,0,0
83,14.0,0,0
84,5.0,0,0
85,6.0,0,0
86,7.0,0,0
87,10.0,0,0
88,6.0,0,0
89,7.0,0,0
90,5.0,0,0
91,9.0,0,0
92,11.0,0,0
93,7.0,0,0
94,9.0,0,0
95,21.0,0,1
96,12.0,0,0
97,7.0,0,0
98,108.0,1,1
99,12.0,0,0
100,5.0,0,0
101,7.0,0,1
102,6.0,0,0
103,6.0,0,0
104,8.0,0,0
105,11.0,0,0
106,34.0,1,1
107,7.0,0,1
108,5.0,0,1
