query_id,inliers_top1,baseline_correct,reranked_correct
0,9.0,0,0
1,15.0,0,1
2,315.0,1,1
3,10.0,0,0
4,498.0,1,1
5,121.0,1,1
6,406.0,1,1
7,15.0,1,1
8,259.0,1,1
9,137.0,1,1
10,62.0,1,1
11,18.0,0,1
12,133.0,1,1
13,199.0,1,1
14,8.0,0,1
15,120.0,1,1
16,161.0,1,1
17,94.0,1,1
18,102.0,1,1
19,85.0,1,1
20,79.0,1,1
21,11.0,0,1
22,12.0,0,1
23,10.0,0,1
24,214.0,1,1
25,229.0,1,1
26,42.0,1,1
27,111.0,1,1
28,10.0,1,0
29,274.0,1,1
30,10.0,1,1
31,159.0,1,1
32,98.0,1,1
33,9.0,0,1
34,12.0,0,1
35,10.0,0,0
36,11.0,0,0
37,7.0,1,0
38,5.0,0,0
39,16.0,0,0
40,32.0,0,1
41,7.0,0,1
42,29.0,1,1
43,12.0,0,1
44,10.0,0,0
45,13.0,0,0
46,7.0,0,0
47,7.0,0,0
48,28.0,1,1
49,113.0,1,1
50,160.0,1,1
51,38.0,1,1
52,139.0,1,1
53,227.0,1,1
54,15.0,0,1
55,89.0,1,1
56,98.0,1,1
57,119.0,1,1
58,7.0,0,0
59,47.0,1,1
60,16.0,1,1
61,43.0,1,1
62,124.0,1,1
63,28.0,1,1
64,102.0,1,1
65,108.0,1,1
66,16.0,0,1
67,189.0,1,1
68,10.0,0,1
69,9.0,0,1
70,12.0,0,1
71,13.0,0,1
72,13.0,1,1
73,104.0,1,1
74,35.0,1,1
75,53.0,1,1
76,68.0,1,1
77,7.0,0,1
78,34.0,1,1
79,16.0,1,1
80,9.0,0,1
81,7.0,0,1
82,6.0,0,1
83,13.0,0,0
84,8.0,0,0
85,33.0,0,1
86,64.0,1,1
87,11.0,0,1
88,103.0,1,1
89,173.0,1,1
90,8.0,0,1
91,22.0,1,1
92,21.0,1,0
93,128.0,1,1
94,10.0,0,0
95,106.0,1,1
96,7.0,0,0
97,10.0,0,0
98,11.0,0,1
99,9.0,0,0
100,39.0,1,1
101,7.0,0,0
102,6.0,0,0
103,15.0,1,1
104,22.0,1,1
105,8.0,0,1
106,68.0,1,1
107,81.0,1,1
108,56.0,1,1
109,73.0,1,1
110,34.0,1,1
111,8.0,0,0
112,9.0,0,0
113,10.0,0,0
114,9.0,0,0
115,9.0,0,0
116,7.0,0,0
117,6.0,0,0
118,449.0,1,1
119,390.0,1,1
120,417.0,1,1
121,7.0,0,0
122,8.0,0,0
123,15.0,0,0
124,120.0,1,1
125,409.0,1,1
126,7.0,0,0
127,104.0,1,1
128,108.0,1,1
129,9.0,0,0
130,140.0,1,1
131,144.0,1,1
132,7.0,0,0
133,7.0,0,0
134,131.0,1,1
135,7.0,0,0
136,64.0,1,1
137,124.0,1,1
138,98.0,0,0
139,7.0,0,1
140,10.0,0,0
141,99.0,1,1
142,13.0,0,0
143,10.0,0,1
144,23.0,1,1
145,33.0,1,1
146,11.0,0,0
147,43.0,1,1
148,6.0,0,0
149,10.0,1,1
150,39.0,1,1
151,9.0,0,0
152,30.0,1,1
153,8.0,0,0
154,26.0,1,1
155,7.0,0,0
156,10.0,0,1
157,70.0,1,1
158,11.0,0,0
159,7.0,0,0
160,34.0,1,1
161,8.0,0,0
162,62.0,1,1
163,12.0,0,1
164,10.0,0,0
165,8.0,0,0
166,8.0,0,0
167,8.0,0,1
168,11.0,0,0
169,18.0,1,1
170,7.0,0,0
171,19.0,1,1
172,5.0,0,0
173,8.0,0,0
174,18.0,1,1
175,11.0,0,0
176,9.0,1,1
177,9.0,0,1
178,11.0,0,0
179,8.0,0,0
180,8.0,0,0
181,10.0,0,1
182,8.0,0,1
183,10.0,0,0
184,8.0,0,0
185,14.0,0,0
186,14.0,0,0
187,9.0,0,1
188,6.0,0,0
189,9.0,0,1
190,7.0,0,0
191,9.0,0,0
192,17.0,0,0
193,68.0,1,1
194,11.0,0,0
195,11.0,0,0
196,9.0,0,0
197,18.0,0,0
198,10.0,0,0
199,12.0,0,0
200,9.0,0,0
201,15.0,0,0
202,7.0,0,0
203,11.0,0,0
204,5.0,0,0
205,8.0,0,0
206,16.0,0,0
207,9.0,0,0
208,8.0,0,0
209,6.0,0,0
210,9.0,0,0
211,14.0,0,0
212,17.0,0,0
213,9.0,0,0
214,11.0,0,0
215,8.0,0,0
216,12.0,0,0
217,12.0,0,0
218,10.0,0,1
219,8.0,0,1
220,11.0,0,0
221,14.0,0,0
222,120.0,1,1
223,142.0,1,1
224,8.0,0,0
225,182.0,1,1
226,9.0,0,0
227,9.0,0,0
228,86.0,1,1
229,49.0,1,1
230,103.0,1,1
231,11.0,0,0
232,24.0,0,0
233,139.0,1,1
234,159.0,1,1
235,267.0,1,1
236,17.0,0,0
237,15.0,0,0
238,225.0,1,1
239,14.0,0,1
240,142.0,1,1
241,10.0,0,1
242,236.0,1,1
243,6.0,0,1
244,71.0,1,1
245,7.0,0,1
246,101.0,1,1
247,66.0,1,1
248,11.0,0,0
249,9.0,0,0
250,38.0,1,1
251,11.0,0,0
252,64.0,1,1
253,26.0,1,1
254,13.0,0,0
255,23.0,1,1
256,10.0,0,0
257,8.0,0,1
258,74.0,1,1
259,7.0,0,0
260,68.0,1,1
261,8.0,0,0
262,63.0,1,1
263,7.0,0,0
264,6.0,0,0
265,11.0,0,1
266,6.0,0,0
267,5.0,0,0
268,21.0,1,0
269,6.0,0,0
270,6.0,0,0
271,10.0,0,0
272,10.0,0,1
273,7.0,0,0
274,6.0,0,0
275,21.0,1,1
276,7.0,1,1
277,12.0,1,0
278,23.0,1,1
279,18.0,0,1
280,18.0,1,1
281,17.0,1,1
282,6.0,0,1
283,6.0,0,1
284,7.0,0,0
285,10.0,0,1
286,8.0,0,1
287,11.0,0,0
288,11.0,0,0
289,6.0,0,0
290,11.0,0,0
291,9.0,0,0
292,9.0,0,1
293,6.0,0,0
294,11.0,0,0
295,10.0,0,0
296,7.0,0,1
297,10.0,0,0
298,9.0,0,1
299,12.0,0,1
300,50.0,1,1
301,42.0,1,1
302,11.0,0,1
303,21.0,1,1
304,10.0,0,1
305,6.0,0,0
306,11.0,0,1
307,26.0,1,0
308,17.0,1,1
309,22.0,1,1
310,20.0,1,1
311,12.0,0,0
312,9.0,0,0
313,11.0,0,1
314,63.0,1,1
315,7.0,0,1
316,21.0,1,1
317,57.0,1,1
318,12.0,0,0
319,67.0,1,1
320,35.0,1,1
321,6.0,0,1
322,8.0,0,0
323,33.0,1,1
324,11.0,0,1
325,13.0,1,1
326,16.0,0,1
327,6.0,0,0
328,8.0,0,0
329,19.0,1,1
330,14.0,1,1
331,10.0,0,1
332,12.0,0,1
333,11.0,0,1
334,18.0,0,1
335,15.0,1,1
336,10.0,1,0
337,25.0,1,1
338,16.0,1,1
339,7.0,0,0
340,13.0,1,1
341,9.0,0,1
342,8.0,0,0
343,9.0,0,0
344,11.0,0,1
345,9.0,0,0
346,39.0,1,1
347,8.0,1,0
348,10.0,0,0
349,15.0,0,1
350,21.0,1,1
351,12.0,1,0
352,6.0,0,0
353,178.0,1,1
354,8.0,1,1
355,8.0,0,0
356,31.0,1,1
357,72.0,1,1
358,16.0,0,0
359,7.0,0,0
360,37.0,1,1
361,44.0,1,1
362,6.0,0,1
363,7.0,0,0
364,11.0,0,1
365,11.0,0,0
