query_id,inliers_top1,baseline_correct,reranked_correct
0,7.0,0,0
1,5.0,0,1
2,102.0,1,1
3,11.0,0,0
4,140.0,1,1
5,84.0,1,1
6,138.0,1,1
7,9.0,1,1
8,87.0,1,1
9,86.0,1,1
10,30.0,1,1
11,6.0,0,1
12,50.0,1,1
13,68.0,1,1
14,4.0,0,1
15,62.0,1,1
16,73.0,1,1
17,53.0,1,1
18,95.0,1,1
19,59.0,1,1
20,58.0,1,1
21,16.0,0,1
22,4.0,0,1
23,7.0,0,1
24,92.0,1,1
25,90.0,1,1
26,43.0,1,1
27,78.0,1,1
28,57.0,1,1
29,122.0,1,1
30,18.0,1,1
31,88.0,1,1
32,71.0,1,1
33,15.0,0,1
34,7.0,0,1
35,7.0,0,0
36,6.0,0,0
37,12.0,1,0
38,6.0,0,0
39,19.0,0,0
40,22.0,0,1
41,6.0,0,1
42,43.0,1,1
43,7.0,0,1
44,11.0,0,0
45,11.0,0,0
46,6.0,0,0
47,9.0,0,0
48,40.0,1,1
49,89.0,1,1
50,129.0,1,1
51,28.0,1,1
52,101.0,1,1
53,97.0,1,1
54,16.0,0,1
55,91.0,1,1
56,44.0,1,1
57,94.0,1,1
58,4.0,0,0
59,43.0,1,1
60,61.0,1,1
61,30.0,1,1
62,80.0,1,1
63,32.0,1,1
64,86.0,1,1
65,62.0,1,1
66,15.0,0,1
67,75.0,1,1
68,10.0,0,1
69,20.0,0,1
70,6.0,0,1
71,5.0,0,1
72,13.0,1,1
73,45.0,1,1
74,14.0,1,1
75,61.0,1,1
76,54.0,1,1
77,11.0,0,1
78,34.0,1,1
79,9.0,1,1
80,8.0,0,1
81,8.0,0,1
82,6.0,0,0
83,8.0,0,0
84,10.0,0,1
85,25.0,0,1
86,71.0,1,1
87,3.0,0,1
88,76.0,1,1
89,106.0,1,1
90,2.0,0,1
91,36.0,1,1
92,106.0,1,1
93,61.0,1,1
94,5.0,0,0
95,105.0,1,1
96,6.0,0,0
97,5.0,0,0
98,6.0,0,1
99,11.0,0,0
100,31.0,1,1
101,4.0,0,0
102,6.0,0,0
103,5.0,1,1
104,54.0,1,1
105,8.0,0,1
106,34.0,1,1
107,67.0,1,1
108,22.0,1,1
109,42.0,1,1
110,9.0,1,1
111,8.0,0,0
112,9.0,0,0
113,9.0,0,0
114,12.0,0,0
115,5.0,0,0
116,1.0,0,0
117,8.0,0,0
118,211.0,1,1
119,185.0,1,1
120,203.0,1,1
121,5.0,0,0
122,5.0,0,0
123,6.0,0,0
124,120.0,1,1
125,214.0,1,1
126,6.0,0,0
127,121.0,1,1
128,122.0,1,1
129,21.0,0,0
130,128.0,1,1
131,132.0,1,1
132,7.0,0,0
133,6.0,0,0
134,78.0,1,1
135,5.0,0,0
136,124.0,1,1
137,117.0,1,1
138,105.0,0,0
139,7.0,0,1
140,14.0,0,1
141,129.0,1,1
142,11.0,0,0
143,9.0,0,1
144,39.0,1,1
145,68.0,1,1
146,5.0,0,0
147,55.0,1,1
148,7.0,0,0
149,15.0,1,1
150,60.0,1,1
151,6.0,0,0
152,83.0,1,1
153,9.0,0,0
154,37.0,1,1
155,7.0,0,0
156,7.0,0,1
157,69.0,1,1
158,8.0,0,0
159,10.0,0,0
160,22.0,1,1
161,7.0,0,0
162,54.0,1,1
163,5.0,0,1
164,5.0,0,0
165,5.0,0,1
166,9.0,0,0
167,8.0,0,1
168,6.0,0,0
169,9.0,1,1
170,5.0,0,0
171,18.0,1,1
172,13.0,0,0
173,6.0,0,0
174,10.0,1,0
175,5.0,0,0
176,9.0,1,1
177,10.0,0,1
178,5.0,0,1
179,6.0,0,0
180,10.0,0,0
181,4.0,0,1
182,5.0,0,1
183,7.0,0,0
184,11.0,0,1
185,20.0,0,0
186,16.0,0,0
187,8.0,0,1
188,5.0,0,1
189,6.0,0,0
190,5.0,0,0
191,11.0,0,0
192,8.0,0,0
193,83.0,1,1
