query_id,inliers_top1,baseline_correct,reranked_correct
0,10.0,0,0
1,8.0,0,0
2,205.0,1,1
3,7.0,0,0
4,7.0,0,1
5,131.0,1,1
6,75.0,1,1
7,88.0,1,1
8,51.0,1,1
9,70.0,1,1
10,72.0,1,1
11,74.0,1,1
12,85.0,1,1
13,65.0,1,1
14,74.0,1,1
15,8.0,0,1
16,79.0,1,1
17,11.0,0,0
18,53.0,1,1
19,7.0,0,0
20,64.0,1,1
21,10.0,0,1
22,31.0,1,1
23,47.0,1,1
24,7.0,0,0
25,50.0,1,1
26,4.0,0,1
27,75.0,1,1
28,83.0,1,1
29,116.0,1,1
30,11.0,0,0
31,103.0,1,1
32,34.0,1,0
33,10.0,0,1
34,5.0,0,1
35,44.0,1,1
36,88.0,1,1
37,26.0,1,0
38,79.0,1,1
39,66.0,1,1
40,13.0,1,1
41,31.0,0,1
42,85.0,1,1
43,13.0,0,0
44,30.0,0,0
45,6.0,0,0
46,6.0,0,0
47,18.0,0,0
48,10.0,0,0
49,7.0,0,0
50,10.0,0,0
51,59.0,1,1
52,6.0,0,1
53,33.0,1,1
54,16.0,0,1
55,52.0,1,1
56,5.0,0,1
57,52.0,1,1
58,73.0,1,1
59,109.0,1,1
60,93.0,1,1
61,85.0,1,1
62,48.0,1,1
63,71.0,1,1
64,81.0,1,1
65,56.0,0,1
66,81.0,1,1
67,90.0,1,1
68,65.0,1,1
69,80.0,1,1
70,87.0,1,1
71,6.0,0,1
72,87.0,1,1
73,7.0,0,0
74,104.0,1,1
75,72.0,1,1
76,10.0,0,0
77,105.0,1,1
78,8.0,0,0
79,53.0,1,1
80,8.0,0,0
81,103.0,1,1
82,9.0,0,0
83,50.0,1,1
84,14.0,0,1
85,42.0,1,1
86,7.0,0,0
87,46.0,1,1
88,11.0,0,1
89,11.0,0,1
90,130.0,1,1
91,8.0,0,1
92,119.0,1,1
93,16.0,0,0
94,121.0,1,1
95,20.0,0,0
96,95.0,1,1
97,21.0,0,0
98,10.0,0,0
99,10.0,0,1
100,5.0,0,0
101,19.0,0,0
102,12.0,0,1
103,43.0,1,1
104,44.0,1,1
105,61.0,1,1
106,65.0,1,1
107,26.0,1,1
108,130.0,1,1
109,23.0,1,1
110,55.0,1,1
111,39.0,1,1
112,21.0,0,1
113,5.0,0,1
114,8.0,0,1
115,11.0,0,1
116,17.0,1,1
117,284.0,1,1
118,304.0,1,1
119,10.0,0,1
120,299.0,1,1
121,86.0,1,1
122,7.0,0,1
123,50.0,1,1
124,6.0,0,0
125,26.0,1,0
126,321.0,1,1
127,307.0,1,1
128,36.0,1,1
129,278.0,1,1
130,14.0,1,1
131,291.0,1,1
132,41.0,1,1
133,84.0,1,1
134,20.0,1,1
135,124.0,1,1
136,123.0,1,1
137,5.0,0,0
138,5.0,0,0
139,67.0,1,1
140,68.0,1,1
141,12.0,1,0
142,107.0,1,1
143,12.0,0,0
144,86.0,1,1
145,111.0,1,1
146,13.0,0,1
147,81.0,1,1
148,23.0,0,1
149,78.0,1,1
150,6.0,0,1
151,25.0,1,1
152,16.0,0,1
153,84.0,1,1
154,61.0,1,1
155,54.0,1,1
156,5.0,0,1
157,53.0,1,1
158,31.0,1,1
159,46.0,1,1
160,7.0,0,0
161,6.0,0,0
162,42.0,1,1
163,26.0,1,1
164,14.0,0,0
165,11.0,0,0
166,12.0,0,0
167,8.0,0,0
168,12.0,0,0
169,37.0,0,0
170,31.0,0,0
171,15.0,0,0
172,10.0,0,0
173,9.0,0,0
174,8.0,0,0
175,6.0,0,0
176,11.0,0,0
177,9.0,0,0
178,14.0,0,0
179,8.0,0,0
180,8.0,0,0
181,16.0,0,0
182,11.0,0,0
183,8.0,0,0
184,12.0,0,0
185,26.0,0,0
186,16.0,0,0
187,7.0,0,0
188,17.0,0,0
189,11.0,0,0
190,13.0,0,0
191,11.0,0,0
192,8.0,0,0
193,11.0,0,0
194,6.0,0,1
195,7.0,0,0
196,74.0,1,1
197,0.0,0,0
198,5.0,0,0
199,11.0,0,1
200,13.0,0,0
201,35.0,0,0
202,73.0,1,1
203,119.0,1,1
204,14.0,0,0
205,7.0,0,0
206,114.0,1,1
207,103.0,1,1
208,56.0,1,1
209,12.0,0,0
210,10.0,0,0
211,71.0,1,1
212,10.0,0,1
213,7.0,0,0
214,8.0,0,0
215,5.0,0,1
216,7.0,0,0
217,7.0,0,1
218,9.0,0,0
219,5.0,0,1
220,12.0,0,1
221,25.0,0,0
222,8.0,0,1
223,17.0,0,0
224,15.0,0,1
225,143.0,1,1
226,16.0,0,0
227,160.0,1,1
228,9.0,0,0
229,173.0,1,1
230,161.0,1,1
231,12.0,0,0
232,104.0,1,1
233,7.0,0,0
234,68.0,1,1
235,18.0,0,0
236,133.0,1,1
237,71.0,1,1
238,15.0,0,0
239,119.0,1,1
240,16.0,0,0
241,69.0,1,1
242,30.0,1,1
