query_id,inliers_top1,baseline_correct,reranked_correct
0,16.0,0,1
1,9.0,0,1
2,605.0,1,1
3,9.0,0,0
4,8.0,0,1
5,417.0,1,1
6,10.0,0,1
7,280.0,1,1
8,8.0,0,1
9,148.0,1,1
10,8.0,0,0
11,8.0,0,1
12,253.0,1,1
13,8.0,0,0
14,126.0,1,1
15,8.0,0,0
16,216.0,1,1
17,34.0,1,1
18,211.0,1,1
19,23.0,0,1
20,233.0,1,1
21,18.0,0,1
22,81.0,1,1
23,77.0,1,1
24,6.0,0,1
25,82.0,1,1
26,156.0,1,1
27,161.0,1,1
28,135.0,1,1
29,71.0,1,1
30,79.0,1,0
31,10.0,0,1
32,40.0,0,1
33,11.0,0,1
34,9.0,0,1
35,32.0,0,1
36,129.0,1,1
37,69.0,1,1
38,154.0,1,1
39,138.0,1,1
40,11.0,0,1
41,246.0,1,1
42,12.0,0,0
43,18.0,0,1
44,53.0,0,0
45,11.0,0,0
46,9.0,0,0
47,9.0,0,0
48,10.0,0,0
49,8.0,0,0
50,7.0,0,0
51,79.0,1,0
52,12.0,0,0
53,70.0,1,1
54,24.0,0,1
55,59.0,1,1
56,9.0,0,1
57,311.0,1,1
58,172.0,1,1
59,406.0,1,1
60,139.0,1,1
61,133.0,1,1
62,108.0,1,1
63,309.0,1,1
64,96.0,1,1
65,150.0,1,1
66,101.0,1,1
67,154.0,1,1
68,106.0,1,1
69,228.0,1,1
70,261.0,1,1
71,143.0,1,1
72,139.0,1,1
73,9.0,0,1
74,222.0,1,1
75,150.0,1,1
76,8.0,0,0
77,265.0,1,1
78,8.0,0,0
79,99.0,1,1
80,7.0,0,0
81,236.0,1,1
82,7.0,0,0
83,65.0,1,1
84,33.0,1,1
85,72.0,1,1
86,6.0,0,0
87,47.0,1,1
88,74.0,1,1
89,181.0,1,1
90,233.0,1,1
91,243.0,1,1
92,154.0,1,1
93,234.0,1,1
94,124.0,1,1
95,271.0,1,1
96,120.0,1,1
97,145.0,1,1
98,16.0,0,1
99,46.0,1,1
100,12.0,0,1
101,13.0,0,0
102,94.0,1,1
103,113.0,1,1
104,56.0,1,1
105,87.0,1,1
106,92.0,1,1
107,37.0,1,1
108,293.0,1,1
109,26.0,1,1
110,124.0,1,1
111,73.0,1,1
112,111.0,1,1
113,11.0,0,1
114,104.0,1,1
115,10.0,0,1
116,26.0,1,1
117,535.0,1,1
118,595.0,1,1
119,95.0,1,1
120,649.0,1,1
121,111.0,1,1
122,7.0,0,0
123,46.0,1,1
124,5.0,0,0
125,8.0,0,1
126,627.0,1,1
127,632.0,1,1
128,65.0,1,1
129,538.0,1,1
130,12.0,0,0
131,555.0,1,1
132,84.0,1,1
133,107.0,1,1
134,6.0,0,0
135,130.0,1,1
136,178.0,1,1
137,7.0,0,1
138,17.0,1,1
139,110.0,1,1
140,154.0,1,1
141,10.0,0,0
142,142.0,1,1
143,19.0,0,0
144,164.0,1,1
145,117.0,1,1
146,11.0,1,0
147,97.0,1,1
148,8.0,0,1
149,132.0,1,1
150,9.0,1,1
151,8.0,0,1
152,119.0,1,1
153,129.0,1,1
154,25.0,1,1
155,27.0,1,1
156,92.0,1,1
157,95.0,1,1
158,50.0,1,1
159,65.0,1,1
160,42.0,1,1
161,73.0,1,1
162,62.0,1,1
163,23.0,1,1
164,7.0,0,1
165,12.0,0,1
166,18.0,0,1
167,15.0,0,0
168,12.0,1,1
169,11.0,0,1
170,69.0,1,1
171,13.0,0,0
172,39.0,1,1
173,52.0,1,1
174,9.0,0,0
175,10.0,0,0
176,14.0,0,0
177,13.0,0,0
178,15.0,0,0
179,14.0,0,0
180,8.0,0,0
181,12.0,0,0
182,6.0,0,0
183,22.0,0,1
184,9.0,0,0
185,12.0,0,1
186,9.0,0,1
187,14.0,0,1
188,12.0,0,1
189,13.0,0,0
190,21.0,0,1
191,11.0,0,1
192,74.0,0,1
193,16.0,0,1
194,15.0,0,1
195,17.0,0,1
196,179.0,1,1
197,0.0,0,0
198,7.0,0,0
199,213.0,1,1
200,12.0,0,0
201,102.0,1,1
202,224.0,1,1
203,12.0,0,1
204,168.0,1,1
205,7.0,0,1
206,239.0,1,1
207,12.0,0,1
208,97.0,1,1
209,119.0,1,1
210,115.0,1,1
211,149.0,1,1
212,198.0,1,1
213,15.0,0,1
214,9.0,0,1
215,306.0,1,1
216,25.0,0,1
217,126.0,1,1
218,15.0,0,1
219,87.0,1,1
220,278.0,1,1
221,20.0,0,0
222,168.0,1,1
223,16.0,0,0
224,215.0,1,1
225,339.0,1,1
226,13.0,0,0
227,194.0,1,1
228,11.0,0,0
229,419.0,1,1
230,391.0,1,1
231,15.0,0,1
232,187.0,1,1
233,10.0,0,0
234,172.0,1,1
235,12.0,0,1
236,392.0,1,1
237,129.0,1,1
238,18.0,0,0
239,229.0,1,1
240,13.0,0,0
241,11.0,0,1
242,16.0,0,1
243,68.0,1,1
244,16.0,0,1
245,60.0,1,1
246,15.0,0,0
247,11.0,0,1
248,18.0,0,0
249,10.0,0,1
250,10.0,0,0
251,15.0,0,1
252,46.0,1,1
253,40.0,1,1
254,14.0,0,0
255,9.0,0,0
256,82.0,1,1
257,67.0,1,1
258,8.0,0,0
259,16.0,1,1
260,9.0,0,0
261,15.0,0,1
262,7.0,0,0
263,13.0,0,0
264,13.0,1,1
265,16.0,0,1
266,36.0,1,1
267,24.0,1,1
268,11.0,0,0
269,30.0,1,1
270,27.0,1,1
271,20.0,0,1
272,11.0,0,0
273,31.0,1,1
274,14.0,0,0
275,11.0,0,0
276,17.0,0,0
277,15.0,0,0
278,19.0,0,0
279,11.0,0,0
280,11.0,0,0
281,7.0,0,0
282,14.0,0,0
283,8.0,0,0
284,12.0,0,0
285,12.0,0,0
286,14.0,0,0
287,16.0,0,0
288,9.0,0,0
289,9.0,0,1
290,13.0,0,0
291,12.0,0,1
292,11.0,0,0
293,51.0,1,1
294,12.0,0,1
295,96.0,1,1
296,14.0,0,1
297,16.0,0,1
298,10.0,0,1
299,9.0,0,1
300,20.0,0,0
301,15.0,0,1
302,7.0,0,0
303,10.0,0,1
304,43.0,1,1
305,13.0,0,1
306,83.0,1,1
307,16.0,1,1
308,17.0,0,1
309,10.0,0,0
310,8.0,0,1
311,58.0,1,1
312,11.0,0,0
313,34.0,1,1
314,12.0,0,1
315,66.0,1,1
316,17.0,0,0
317,21.0,1,1
318,9.0,0,0
319,8.0,0,1
320,9.0,0,0
321,16.0,1,1
322,6.0,0,1
323,10.0,0,1
324,12.0,0,1
325,13.0,0,1
326,9.0,0,1
327,14.0,1,1
328,6.0,0,1
329,63.0,1,1
330,61.0,1,1
331,49.0,1,1
332,76.0,1,1
333,29.0,1,1
334,47.0,1,1
335,67.0,1,1
336,212.0,1,1
337,15.0,0,1
338,9.0,0,1
339,69.0,1,1
340,22.0,1,1
341,142.0,1,1
342,44.0,1,1
343,18.0,0,0
344,243.0,1,1
345,103.0,1,1
346,174.0,1,1
347,137.0,1,1
348,170.0,1,1
349,59.0,1,1
350,11.0,0,1
351,15.0,0,0
352,153.0,1,1
353,246.0,1,1
354,165.0,1,1
355,98.0,1,1
356,118.0,1,1
357,163.0,1,1
358,277.0,1,1
359,116.0,1,1
360,123.0,1,1
361,122.0,1,1
362,71.0,1,1
363,150.0,1,1
364,235.0,1,1
365,119.0,1,1
366,45.0,1,1
367,68.0,1,1
368,70.0,1,1
369,78.0,1,1
370,89.0,1,1
371,94.0,1,1
372,103.0,1,1
373,66.0,1,1
374,101.0,1,1
375,94.0,1,1
376,113.0,1,1
377,124.0,1,1
378,52.0,1,1
379,143.0,1,1
380,153.0,1,1
381,56.0,1,1
382,112.0,1,1
383,58.0,1,1
384,79.0,1,1
385,113.0,1,1
386,11.0,0,1
387,164.0,1,1
388,51.0,1,1
389,152.0,1,1
390,44.0,1,1
391,70.0,1,1
392,183.0,1,1
393,149.0,1,1
394,77.0,1,1
395,126.0,1,1
396,169.0,1,1
397,226.0,1,1
398,261.0,1,1
399,226.0,1,1
400,140.0,1,1
401,216.0,1,1
402,202.0,1,1
403,150.0,1,1
404,156.0,1,1
405,7.0,1,0
406,13.0,0,0
407,231.0,1,1
408,192.0,1,1
409,136.0,1,1
410,122.0,1,1
411,174.0,1,1
412,163.0,1,1
413,12.0,0,0
414,121.0,1,1
