query_id,inliers_top1,baseline_correct,reranked_correct
0,8.0,0,1
1,11.0,0,1
2,205.0,1,1
3,8.0,0,0
4,8.0,0,1
5,131.0,1,1
6,6.0,0,1
7,88.0,1,1
8,4.0,0,1
9,70.0,1,1
10,6.0,0,0
11,5.0,0,1
12,85.0,1,1
13,6.0,0,0
14,74.0,1,1
15,6.0,0,0
16,79.0,1,1
17,45.0,1,1
18,78.0,1,1
19,13.0,0,1
20,64.0,1,1
21,9.0,0,1
22,39.0,1,1
23,47.0,1,1
24,8.0,0,0
25,50.0,1,1
26,109.0,1,1
27,75.0,1,1
28,83.0,1,1
29,72.0,1,1
30,54.0,1,0
31,10.0,0,1
32,39.0,0,0
33,8.0,0,1
34,9.0,0,1
35,34.0,0,1
36,88.0,1,1
37,26.0,1,0
38,79.0,1,1
39,66.0,1,1
40,19.0,0,1
41,66.0,1,1
42,6.0,0,0
43,11.0,0,1
44,38.0,0,0
45,5.0,0,0
46,8.0,0,0
47,5.0,0,0
48,7.0,0,0
49,7.0,0,0
50,5.0,0,0
51,58.0,1,1
52,14.0,0,1
53,33.0,1,1
54,14.0,0,1
55,52.0,1,1
56,9.0,0,1
57,85.0,1,1
58,87.0,1,1
59,109.0,1,1
60,93.0,1,1
61,65.0,1,1
62,50.0,1,1
63,71.0,1,1
64,58.0,1,1
65,63.0,1,1
66,45.0,1,1
67,90.0,1,1
68,68.0,1,1
69,97.0,1,1
70,87.0,1,1
71,105.0,1,1
72,87.0,1,1
73,13.0,0,1
74,104.0,1,1
75,72.0,1,1
76,5.0,0,1
77,105.0,1,1
78,8.0,0,0
79,53.0,1,1
80,10.0,0,0
81,103.0,1,1
82,4.0,0,0
83,55.0,1,1
84,46.0,1,1
85,42.0,1,1
86,6.0,0,0
87,46.0,1,1
88,60.0,1,1
89,82.0,1,1
90,130.0,1,1
91,99.0,1,1
92,91.0,1,1
93,96.0,1,1
94,121.0,1,1
95,120.0,1,1
96,95.0,1,1
97,52.0,1,1
98,10.0,0,1
99,33.0,1,1
100,10.0,0,1
101,8.0,0,0
102,34.0,1,1
103,43.0,1,1
104,44.0,1,1
105,60.0,1,1
106,52.0,1,1
107,33.0,1,1
108,130.0,1,1
109,23.0,1,1
110,55.0,1,1
111,58.0,1,1
112,76.0,1,1
113,6.0,0,1
114,69.0,1,1
115,5.0,0,1
116,32.0,1,1
117,284.0,1,1
118,304.0,1,1
119,178.0,1,1
120,299.0,1,1
121,86.0,1,1
122,11.0,0,0
123,50.0,1,1
124,0.0,0,0
125,7.0,0,1
126,321.0,1,1
127,307.0,1,1
128,77.0,1,1
129,278.0,1,1
130,5.0,0,0
131,291.0,1,1
132,79.0,1,1
133,84.0,1,1
134,9.0,0,0
135,124.0,1,1
136,123.0,1,1
137,6.0,0,0
138,13.0,1,0
139,100.0,1,1
140,135.0,1,1
141,9.0,0,0
142,107.0,1,1
143,16.0,0,0
144,98.0,1,1
145,111.0,1,1
146,17.0,1,1
147,81.0,1,1
148,6.0,0,1
149,91.0,1,1
150,20.0,1,1
151,5.0,0,1
152,85.0,1,1
153,84.0,1,1
154,38.0,1,1
155,41.0,1,1
156,65.0,1,1
157,67.0,1,1
158,57.0,1,1
159,46.0,1,1
160,43.0,1,0
161,41.0,1,1
162,42.0,1,1
163,26.0,1,1
164,10.0,0,1
165,5.0,0,1
166,9.0,0,0
167,10.0,0,0
168,11.0,1,0
169,9.0,0,1
170,41.0,1,1
171,15.0,0,0
172,45.0,1,1
173,33.0,1,1
174,13.0,0,0
175,6.0,0,0
176,9.0,0,0
177,6.0,0,0
178,20.0,0,0
179,6.0,0,0
180,4.0,0,0
181,6.0,0,0
182,7.0,0,0
183,18.0,0,1
184,12.0,0,0
185,14.0,0,1
186,10.0,0,1
187,6.0,0,1
188,8.0,0,1
189,5.0,0,0
190,19.0,0,1
191,16.0,0,1
192,55.0,0,1
193,13.0,0,1
194,8.0,0,1
195,19.0,0,1
196,68.0,1,1
197,0.0,0,0
198,8.0,0,0
199,117.0,1,1
200,13.0,0,0
201,86.0,1,1
202,94.0,1,1
203,9.0,0,1
204,87.0,1,1
205,6.0,0,1
206,114.0,1,1
207,6.0,0,1
208,56.0,1,1
209,80.0,1,1
210,62.0,1,1
211,71.0,1,1
212,104.0,1,1
213,10.0,0,1
214,13.0,0,1
215,167.0,1,1
216,12.0,0,1
217,121.0,1,1
218,10.0,0,1
219,115.0,1,1
220,173.0,1,1
221,9.0,0,0
222,131.0,1,1
223,17.0,0,0
224,97.0,1,1
225,143.0,1,1
226,13.0,0,0
227,85.0,1,1
228,12.0,0,0
229,173.0,1,1
230,161.0,1,1
231,9.0,0,1
232,104.0,1,1
233,12.0,0,0
234,68.0,1,1
235,10.0,0,1
236,133.0,1,1
237,71.0,1,1
238,10.0,0,0
239,119.0,1,1
240,20.0,0,0
241,15.0,0,1
242,5.0,0,1
243,52.0,1,1
244,12.0,0,1
245,49.0,1,1
246,12.0,0,0
247,17.0,0,1
248,12.0,0,0
249,12.0,0,1
250,12.0,0,0
251,10.0,0,1
252,42.0,1,1
253,31.0,1,1
254,13.0,0,0
255,15.0,0,0
256,60.0,1,1
257,50.0,1,1
258,5.0,0,0
259,18.0,1,1
260,4.0,0,0
261,7.0,0,1
262,5.0,0,0
263,5.0,0,0
264,38.0,1,1
265,13.0,0,0
266,14.0,1,0
267,78.0,1,1
268,10.0,0,1
269,72.0,1,1
270,46.0,1,1
271,12.0,0,1
272,14.0,0,0
273,64.0,1,1
274,15.0,0,1
275,12.0,0,0
276,9.0,0,0
277,13.0,0,0
278,6.0,0,0
279,8.0,0,0
280,7.0,0,0
281,5.0,0,0
282,15.0,0,0
283,6.0,0,0
284,5.0,0,0
285,14.0,0,0
286,10.0,0,0
287,7.0,0,0
288,14.0,0,0
289,6.0,0,1
290,8.0,0,0
291,6.0,0,1
292,8.0,0,0
293,15.0,1,0
294,20.0,0,1
295,28.0,1,1
296,13.0,0,1
297,9.0,0,0
298,7.0,0,0
299,18.0,0,0
300,7.0,0,0
301,9.0,0,1
302,5.0,0,0
303,9.0,0,1
304,44.0,1,1
305,14.0,0,1
306,19.0,1,0
307,18.0,1,1
308,7.0,0,1
309,11.0,0,0
310,5.0,0,0
311,50.0,1,1
312,11.0,0,0
313,14.0,1,0
314,9.0,0,1
315,40.0,1,1
316,8.0,0,1
317,18.0,1,0
318,5.0,0,0
319,24.0,0,1
320,12.0,0,0
321,24.0,1,1
322,14.0,0,1
